[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53591
[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53596 -> 20.50.73.4:443
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53596
[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53596 -> 20.50.73.4:443
[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53596 -> 20.50.73.4:443
[15:48:53] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.113.21:443 -> 10.184.0.59:53587
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53588
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53591
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:53] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53591
[15:48:53] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:53] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
